Year,Month,Day,Hour,Minute,Second,N_Lat,E_Long,Depth,Mag
2020,8,15,19,22,27,6.4,123.64,611,5.1
2020,8,16,2,53,11,19.69,122.11,3,5
2020,8,18,0,3,47,11.98,124.01,13,6.6
2020,8,18,21,50,43,11.86,124.07,2,5.1
2020,9,6,15,23,39,6.08,125.92,143,6.4
2020,9,9,3,41,5,3.79,126.74,1,5.5
2020,9,9,7,18,30,3.44,126.28,1,5.9
2020,9,20,13,28,27,6.6,125.66,171,5
2020,9,20,22,13,13,9.26,127.02,22,5.7
2020,9,20,22,21,46,9.38,127.04,7,5.2
2020,9,24,2,25,58,9.35,126.88,16,5.2
2020,9,30,22,10,50,9.23,126.59,15,5.3
2020,10,4,18,16,53,13.66,120.55,120,5.6
2020,10,12,19,21,35,9.8,126.24,55,5
2020,10,16,20,6,24,13.58,120.11,29,5.4
2020,10,29,5,25,43,13.75,120.86,4,5
2020,11,4,18,27,46,10.03,126.21,18,5.1
2020,11,11,19,18,25,10.15,126.1,14,5.3
2020,11,15,6,35,12,11.81,124.16,10,5
2020,11,15,22,37,43,8.61,126.49,54,6
2020,12,7,14,37,23,13.04,124.52,79,5.4
2020,12,15,23,21,54,4.87,125.43,20,6.2
2020,12,24,23,43,41,13.76,120.53,107,6.3
2020,12,25,2,0,31,4.91,125.97,88,5.2
2020,12,25,10,4,32,13.36,122.31,4,5.2
2020,12,29,16,21,45,5.01,125.45,68,5.5
2021,1,12,1,38,15,19,120.55,15,5.1
2021,1,21,12,23,5,5.09,127.61,102,7.1
2021,1,21,22,45,49,5.12,127.61,96,5
2021,1,24,14,26,39,9.11,126.88,12,5.2
2021,2,2,14,37,34,3.62,126.57,25,5.2
2021,2,4,7,48,9,14.6,118.8,16,5.1
2021,2,4,8,14,6,21.11,121.77,7,5.6
2021,2,4,22,0,40,14.6,123.14,1,5.1
2021,2,7,4,22,55,6.75,125.11,10,6.1
2021,2,8,0,0,42,5.74,127.15,62,5.7
2021,2,8,23,24,38,11.9,120.71,23,5
2021,2,23,22,25,53,2.89,126.43,110,5.2
2021,3,11,7,24,35,15.78,119.25,13,5.1
2021,3,12,20,13,55,4.33,126.89,63,5
2021,3,31,22,12,22,3.41,126.58,27,5.2
2021,4,1,10,12,22,3.41,126.58,27,5.2
2021,4,6,20,8,45,5.74,126.68,98,5.1
2021,4,10,9,30,42,3.98,124.88,326,6.1
2021,4,13,18,38,43,5.44,127,34,5.1
2021,4,13,18,39,55,13.9,120.57,198,5
2021,4,16,20,55,10,3.3,126.77,58,5.4
2021,5,6,6,21,21,6.76,125.12,19,5.1
2021,5,10,17,25,55,5.46,126.58,60,5.3
2021,5,12,1,9,27,13.52,120.65,108,5.8
2021,5,12,18,20,33,4.76,128.72,38,5.6
2021,5,21,23,56,18,5.51,126.84,52,5.2
2021,5,23,2,2,9,5.1,127.55,113,5.6
2021,5,23,4,41,32,14.76,119.17,33,5
2021,6,6,3,20,58,10.16,126.3,8,5.1
2021,6,7,21,41,8,10.22,126.28,5,5.3
2021,6,10,2,42,24,5.77,126.17,48,5.1
2021,6,14,14,38,40,7.66,124.85,12,5.7
2021,6,14,14,49,42,7.67,124.86,2,5.2
2021,6,27,7,14,10,8.89,126.37,33,5.1
2021,6,28,19,35,28,3.99,125.86,146,5
2021,7,8,10,9,12,4.93,126.59,12,5.2
2021,7,10,0,43,49,2.52,126.63,64,6.2
2021,7,10,0,51,6,2.69,126.61,76,5.4
2021,7,18,0,9,31,6.26,126.43,63,5.4
2021,7,20,20,26,46,5.58,126.74,79,5.3
2021,7,23,20,48,59,13.71,120.57,111,6.6
2021,7,23,20,57,18,13.74,120.54,101,5.5
2021,8,11,17,46,12,6.3,126.87,59,7.1
2021,8,12,15,42,24,6.07,127.41,12,5.1
2021,8,12,15,53,27,6.1,127.65,24,5.6
2021,8,12,20,17,2,5.93,127.5,35,5.3
2021,8,12,20,28,29,6.05,127.58,1,5.1
2021,8,13,15,8,30,13.66,120.57,124,5.8
2021,8,13,19,0,30,6.21,127.44,15,5.2
2021,8,14,1,27,22,5.03,128.34,44,5.3
2021,8,14,10,30,38,10.02,126.15,33,5
2021,8,25,12,3,12,7.21,122.88,23,5
2021,8,27,10,22,23,5.5,125.24,34,5.7
2021,9,2,7,23,27,11.51,124.38,7,5
2021,9,26,17,12,4,13.82,120.35,66,5.7
2021,10,2,21,59,26,12.84,120.86,3,5.3
2021,10,7,18,14,52,13.94,120.49,131,5.2
2021,10,28,5,39,3,13,124.63,11,5
2021,11,19,20,8,20,6.83,127.17,3,5.2
2021,11,19,20,13,46,6.79,127.19,4,5.4
2021,11,27,6,1,50,4.47,126.37,86,5.4
2021,11,30,0,56,6,6.68,126.12,41,5.2
2021,12,4,23,47,54,4.06,128.15,173,6.1
2021,12,13,9,12,31,13.63,120.53,100,5.5
2021,12,15,13,11,41,10.25,126.53,17,5.1
2021,12,21,4,8,10,12.89,120.92,7,5.1
2021,12,22,12,19,58,2.2,126.6,88,5.1
2021,12,22,12,27,39,2.13,126.37,42,5
2021,12,26,0,12,6,16.15,119.27,12,5
2021,12,26,2,22,54,2.14,126.32,16,5.3
2022,1,18,19,10,7,21.12,122.21,187,5.2
2022,1,21,20,43,44,7.44,126.65,115,5.4
2022,1,22,2,26,11,3.41,126.67,20,6.1
2022,1,23,6,23,45,6.97,127.3,9,5.3
2022,1,27,6,15,10,3,127.54,183,5.2
2022,1,30,0,17,13,15.5,118.41,14,5.2
2022,2,11,14,25,15,5.87,124.38,48,5.1
2022,2,12,0,41,8,20.1,121.48,31,5.1
2022,2,13,4,36,15,19.26,121.04,11,5.4
2022,2,20,18,29,24,5.77,126.63,56,5.7
2022,2,20,21,13,24,5.85,126.56,51,5.2
2022,2,21,7,22,16,13.55,120.67,102,5.3
2022,2,26,6,15,50,5.58,126.39,117,5.3
2022,3,7,18,13,13,2.67,125.7,76,5.6
2022,3,13,21,5,48,14.05,119.11,33,6.4
2022,3,14,14,40,48,14.07,119.17,33,5.1
2022,3,15,18,15,48,13.99,119.24,35,5
2022,3,16,0,9,29,14.1,119.16,27,5
2022,3,20,16,39,19,10.95,124.8,4,5.3
2022,3,23,12,2,56,19.19,122.19,20,5.1
2022,3,26,13,53,24,20.54,122.24,14,5.2
2022,3,29,16,27,14,14.12,119.09,33,5
2022,3,29,18,55,32,15.05,119.6,10,5
2022,4,1,1,35,52,9.9,126.97,16,5
2022,4,3,10,24,52,9.16,126.88,4,5.6
2022,4,3,11,21,59,9.17,127.03,1,5.4
2022,4,3,15,29,36,9.12,126.88,5,5.5
2022,4,7,23,36,9,21.57,120.96,1,5.6
2022,4,8,19,19,37,21.35,121.12,32,5.2
2022,4,9,9,44,56,12.3,123.82,7,5
2022,4,9,16,43,51,21.59,121.14,40,5
2022,4,11,13,47,30,21.52,120.81,25,5.2
2022,4,19,1,23,7,7.11,127.04,15,6.2
2022,4,19,4,24,35,7.1,127.01,17,5.3
2022,4,19,17,51,53,6.27,127.51,54,5
2022,4,19,21,20,3,3.47,126.47,107,5.4
2022,4,20,9,7,35,6.23,127.45,110,5.5
2022,4,20,14,34,17,6.78,127.29,16,5.2
2022,4,20,21,57,43,6.88,127.21,35,6.1
2022,4,28,11,42,24,9.93,126.19,13,5.1
2022,5,4,20,16,4,6.31,127.47,80,5.2
2022,5,4,21,41,4,6.2,127.34,96,5.7
2022,5,5,8,21,12,6.22,127.58,34,6
2022,5,5,19,54,40,6.37,127.36,90,5.2
2022,5,6,0,2,21,6.44,127.33,65,5.2
2022,5,6,7,34,48,8.73,126.61,33,5.2
2022,5,17,8,42,15,19.72,120.99,14,5.1
2022,5,21,21,50,48,13.93,120.49,128,6.1
2022,6,2,18,54,27,8.92,126.74,9,5.6
2022,6,7,20,37,22,6.47,127.2,68,5.2
2022,6,16,6,8,52,17.24,119.85,10,5.1
2022,6,28,13,43,30,21.8,120.36,13,5.1
2022,6,30,18,40,38,19.07,121.29,21,6
2022,7,27,9,4,21,16.25,122.93,18,5
2022,7,27,0,43,24,17.63,120.63,15,7
2022,7,27,20,2,42,17.52,120.61,13,5
2022,7,31,18,48,11,17.43,120.62,11,5.1
2022,8,1,17,10,12,11.33,125.48,42,5.1
2022,8,2,5,24,26,6.88,123.75,1,5.4
2022,8,2,19,19,32,7.11,127.03,22,5.6
2022,8,13,4,25,4,10.28,121.83,2,5.1
2022,8,13,6,25,31,6.96,123.77,11,5.9
2022,8,15,8,23,9,6.71,125.14,20,5.5
2022,8,17,9,35,14,9.68,125.92,131,5
2022,8,19,19,22,24,12.39,123.65,15,5
2022,8,27,18,27,36,17.43,120.49,18,5.2
2022,9,9,17,20,41,3.85,126.72,126,5.3
2022,9,12,8,14,41,6.29,127.81,31,5.7
2022,9,25,11,16,33,4.56,126.02,137,5.1
2022,9,28,1,12,20,9.34,126.83,5,5.3
2022,10,3,8,7,49,9.97,126.38,13,5.1
2022,10,19,8,5,39,6.7,125.13,24,5.4
2022,10,23,2,15,43,3.15,128.48,236,5.1
2022,10,24,2,6,43,7.02,125.49,238,5.3
2022,10,24,15,8,31,11.22,126.06,16,5.3
2022,10,25,13,20,40,8.06,126.72,42,5.2
2022,10,25,14,59,2,17.77,120.72,16,6.4
2022,11,2,13,7,43,19.67,121.6,53,5.2
2022,11,5,7,42,12,4.12,126.21,103,5.1
2022,11,6,0,3,11,2.39,125.17,269,5.5
2022,11,7,5,34,5,19.09,121.14,14,5
2022,11,8,14,30,1,15.45,120.57,187,5.2
2022,11,24,15,5,7,18.44,120.71,21,5.1
2022,11,27,4,43,22,9.36,126.53,10,5
2022,12,7,5,5,25,14.58,123.15,1,5.3
2022,12,9,6,33,0,13.3,125.95,32,5.7
2022,12,9,20,1,55,6.36,126.18,55,5.6
2022,12,16,11,0,44,13.58,120.56,89,5
2022,12,18,13,33,46,15.69,119.17,13,5.2
2022,12,19,9,5,58,17.42,120.55,10,5.1
2022,12,19,21,44,24,7.82,124.74,4,5
2022,12,29,13,13,34,6.21,126.37,131,5.2
2023,1,7,23,0,33,7.49,126.51,135,5
2023,1,17,18,6,10,2.86,127.04,15,7
2023,1,17,20,1,18,2.2,127.31,62,5.4
2023,1,21,20,6,56,2.95,126.67,31,5.2
2023,1,23,18,17,36,2.55,126.74,34,5.4
2023,1,24,1,10,18,2.22,126.67,36,5.3
2023,1,24,2,13,19,2.96,126.7,76,5.9
2023,1,25,4,10,22,3.81,128.63,63,5.1
2023,1,26,4,23,50,2.65,127.01,95,5.6
2023,1,27,20,25,28,10.74,125.58,71,5.5
2023,1,29,4,23,31,5.58,125.21,23,5
2023,1,29,19,57,1,2.09,126.99,2,5.4
2023,2,1,10,44,46,7.66,126.07,17,6
2023,2,11,8,55,4,3.43,126.53,28,6
2023,2,15,9,15,30,12.28,123.8,7,5
2023,2,15,18,10,8,12.32,123.75,10,6
2023,2,16,10,33,56,15.06,119.79,9,5
2023,2,19,4,47,18,8.99,126.15,34,5
2023,2,23,20,2,47,3.18,128.13,130,6.4
2023,2,24,27,28,0,2.91,126.05,56,5
2023,3,5,20,43,2,7.45,126.24,4,5.3
2023,3,6,15,53,1,5.81,126.03,148,5
2023,3,7,6,2,29,7.47,126.19,2,5.9
2023,3,7,8,47,43,7.51,126.24,11,5.6
2023,3,15,21,25,32,4.39,127.34,22,5.3
2023,3,17,16,11,36,5.85,127.1,29,5
2023,3,22,23,31,55,19.24,121.12,22,5.6
2023,3,28,5,51,24,18.61,120.28,1,5.1
2023,4,4,14,5,30,13.9,125.77,72,6.2
2023,4,12,2,2,11,5.77,126.89,77,5.4
2023,4,13,16,4,26,9.24,125.6,11,5.1
2023,4,21,10,21,16,2.78,126.87,27,5.8
2023,4,23,9,19,19,17.61,122.28,20,5.3
2023,4,23,16,23,17,14.27,118.74,33,5.2
2023,4,24,9,32,7,9.25,125.57,5,5.1
2023,4,28,16,0,28,13.62,120.4,72,5.2
2023,5,4,0,49,6,17.66,122.38,30,5.5
2023,5,7,11,36,21,17.6,122.36,28,5.3
2023,5,13,14,37,42,10.14,126.22,26,5
2023,5,24,0,44,4,5.7,124.26,1,5.2
2023,5,25,13,48,32,20.96,122.16,18,5.6
2023,5,25,15,26,21,12.24,123.82,2,5
2023,6,15,2,19,25,13.78,120.52,107,6.3
2023,6,17,10,15,18,19.31,121.14,3,5.5
2023,6,18,17,33,59,10.31,126.48,28,5
2023,6,29,11,30,16,10.34,127.15,26,5.1
2023,7,10,13,1,10,11.38,125.41,26,5
2023,7,17,15,35,23,5.77,124.18,1,5.3
2023,7,19,23,8,6,3.26,128.67,176,5
2023,8,1,8,3,20,19.33,121.22,20,5.3
2023,8,4,12,22,14,21.61,121.46,4,5.1
2023,8,4,12,25,20,21.85,121.91,23,5.1
2023,8,9,0,57,16,6.45,126.4,39,5.2
2023,8,13,1,43,10,20.51,121.54,55,5.4
2023,8,23,17,38,35,12.81,121.36,1,5.1
2023,8,25,19,13,41,6.29,124.73,10,5
2023,8,28,17,59,14,3.81,126.73,40,5.5
2023,9,7,19,20,8,4.2,127.91,130,5.1
2023,9,12,11,3,18,19.27,121.15,29,6.3
2023,9,26,1,39,39,4.25,127.61,162,6
2023,10,4,3,35,12,19.28,121.27,21,5.7
2023,10,4,11,21,45,5.26,126.2,135,6.4
2023,10,13,0,24,16,13.79,120.82,5,5
2023,10,19,18,58,52,7.35,126.38,11,5.9
2023,11,2,6,50,23,11.54,126.3,9,5.6
2023,11,16,8,14,8,5.38,125.24,63,6.8
2023,11,19,1,38,0,10.22,125.38,200,5
2023,11,20,4,57,47,11.55,125.13,70,5.2
2023,11,22,2,48,54,2.01,126.97,172,6.1
2023,11,26,8,24,37,13.55,120.62,112,5.1
2023,12,2,14,37,4,8.44,126.59,26,7.4
2023,12,2,16,3,37,8.5,126.95,1,6.4
2023,12,2,16,19,38,8.51,127.12,1,5.1
2023,12,2,16,53,3,8.28,127.08,8,5.5
2023,12,2,17,40,10,8.42,126.9,1,6.1
2023,12,2,17,55,21,8.64,126.97,3,5.9
2023,12,2,18,9,16,8.51,127.43,2,6.3
2023,12,2,18,20,35,8.61,126.93,1,5
2023,12,2,19,36,58,8.48,127.17,45,5.2
2023,12,2,19,49,36,8.96,126.91,1,6.8
2023,12,2,20,39,23,8.27,127.05,1,5
2023,12,2,20,52,13,8.4,127.12,1,6
2023,12,2,22,2,7,8.4,126.84,10,5
2023,12,3,2,2,28,8.68,127.4,4,5.4
2023,12,3,3,36,17,8.39,127.06,3,5.2
2023,12,3,5,43,38,8.66,126.87,8,5.4
2023,12,3,10,35,50,8.49,126.95,1,6.6
2023,12,3,10,39,19,8.49,126.89,1,5.4
2023,12,3,14,35,51,8.76,127.46,7,5.9
2023,12,3,17,1,43,8.56,127,3,5.2
2023,12,3,18,7,53,8.54,127.07,10,5.2
2023,12,3,18,11,15,8.89,126.77,7,5.1
2023,12,3,19,49,33,8.96,126.91,1,6.8
2023,12,3,21,43,35,8.67,127.05,1,5.6
2023,12,4,1,7,44,8.49,126.95,2,5.5
2023,12,4,2,10,57,8.54,126.92,1,5.1
2023,12,4,2,38,12,8.63,126.99,1,5.1
2023,12,4,4,17,18,8.84,126.96,1,5.3
2023,12,4,4,43,41,8.45,127.37,20,5
2023,12,4,4,58,58,8.81,126.79,9,5.5
2023,12,4,5,8,33,8.86,126.87,2,5.8
2023,12,4,6,8,23,8.45,127.01,5,5
2023,12,5,0,34,28,8.93,126.66,13,5.3
2023,12,5,5,27,8,8.45,127.21,6,5
2023,12,5,8,23,55,13.87,120.29,60,5.9
2023,12,5,9,10,1,9.06,126.91,3,5.7
2023,12,5,9,42,48,9.15,126.95,1,5.6
2023,12,5,12,36,42,2.53,127.82,121,5.2
2023,12,5,13,36,33,9.07,127.02,1,5.8
2023,12,6,6,19,10,19.2,121.03,9,5
2023,12,6,8,33,1,8.84,126.74,10,5.1
2023,12,8,10,32,33,8.81,127.09,1,5.2
2023,12,8,11,32,10,8.89,127.01,9,5.1
2023,12,10,22,52,55,8.8,127.48,26,5.2
2023,12,12,13,58,22,8.58,126.72,14,5.1
2023,12,15,16,5,27,8.92,127.43,17,5
2023,12,23,14,22,22,8.13,127.01,12,5.2
2023,12,23,16,38,30,8.95,127.03,2,5.3
2024,1,3,1,11,30,8.29,126.56,32,5.1
2024,1,8,20,48,38,4.45,126.42,72,6.7
2024,1,15,11,31,22,8.38,126.61,27,5
2024,1,17,12,32,1,8.4,126.61,26,5.7
2024,1,29,7,37,21,8.62,127.58,13,5.1
2024,2,24,18,47,40,12.12,125.08,26,5
2024,2,29,0,10,12,8.76,126.88,3,5.3
2024,2,29,0,23,57,8.81,126.97,12,5.4
2024,3,1,9,28,28,8.84,127.07,18,5.4
2024,3,6,20,19,39,7.88,127.14,7,5
2024,3,8,9,11,45,5.88,127.05,133,6
2024,3,29,18,6,56,2.29,126.84,81,5.4
2024,3,31,21,16,44,8.14,126.61,28,5
2024,4,3,4,51,15,8.56,126.9,1,5.1
2024,4,9,9,47,59,2.52,127.19,35,6.5
2024,4,10,16,20,17,11.95,126.1,14,5.1
2024,4,11,3,33,58,7.52,126.14,11,5.3
2024,4,13,6,26,37,2.39,126.62,73,5.3
2024,4,16,16,6,13,9.73,126.36,17,5
2024,4,23,12,55,10,20.29,121.27,15,5.3
2024,4,25,4,20,14,7.69,127.37,18,5
2024,5,3,10,16,23,10.81,125.37,10,5.8
2024,5,7,8,2,58,11.37,125.81,6,5.1
2024,5,7,13,12,53,5.83,124.64,10,5
2024,5,18,6,26,7,3.75,123.09,539,5.2
2024,6,11,6,58,37,9.49,119.63,31,5.1
2024,6,12,17,1,20,4.1,126.65,55,5.7
2024,6,15,13,8,17,3.1,126.99,95,5.9
2024,6,16,11,49,1,4.83,125.18,18,5.1
2024,6,21,19,3,3,8.48,127.27,29,5.1
2024,6,22,0,41,54,14.05,125.13,53,5.1
2024,7,6,10,29,34,19.13,121.24,6,5.4
2024,7,6,16,1,6,12.38,124.63,85,5
2024,7,11,2,13,13,5.93,123.34,686,7.1
2024,8,2,22,22,57,8.12,126.84,11,6.8
2024,8,2,23,36,6,8.03,127.09,4,5
2024,8,3,1,38,13,7.95,127.07,1,5.4
2024,8,3,4,20,23,8.14,127.18,1,6.2
2024,8,6,5,39,21,7.81,127.32,7,5.2
2024,8,19,3,39,0,12.87,124.88,59,5.7
2024,8,27,13,1,31,12.52,123.61,8,5
2024,9,1,19,59,20,3.55,126.61,8,5
2024,9,3,23,16,44,14.95,122.63,3,5.3
2024,9,8,19,28,1,10.99,125.93,44,5
2024,9,9,9,1,31,4.28,126.78,101,5.2
2024,9,13,6,33,39,4.11,126.88,18,5.1
2024,9,29,6,53,34,10.49,124.37,7,5.1
2024,9,29,11,9,14,2.57,126.48,1,5.3
2024,10,1,21,19,50,14.31,124.93,35,6.1
2024,11,19,8,34,0,6.08,126.2,69,5.2
2024,11,27,8,59,9,9,126.5,19,5
2024,11,27,21,58,44,15.51,120.61,191,5.7
2024,12,3,16,9,8,4.48,126.56,39,5.3
2024,12,3,18,54,42,18.52,120.73,23,5.7
2024,12,19,1,1,52,17.66,119.42,27,5
2024,12,19,19,22,17,12.13,126.83,17,5.3
2024,12,26,10,26,19,8.47,125.86,14,5.3
2024,12,27,18,42,59,9.56,126.42,51,5.6
2024,12,30,2,56,16,18.6,120.63,23,5.6
2025,1,5,9,16,39,6.5,126.69,120,5.2
2025,1,13,0,19,41,6.48,124.05,596,5.1
2025,1,20,10,42,59,13.93,120.44,90,5.5
2025,1,21,18,48,24,21.11,121.12,14,5
2025,1,22,23,39,47,10.01,125.18,11,5.8
2025,1,23,3,41,13,7.69,122.12,39,5.4
